,Date - Heure,Taux de CO2 (g/kWh)
0,2022-06-27T01:45:00+02:00,52.0
1,2022-06-27T02:15:00+02:00,54.0
2,2022-06-27T03:15:00+02:00,54.0
3,2022-06-27T05:30:00+02:00,54.0
4,2022-06-27T05:45:00+02:00,55.0
5,2022-06-27T06:00:00+02:00,56.0
6,2022-06-27T06:30:00+02:00,53.0
7,2022-06-27T07:15:00+02:00,51.0
8,2022-06-27T09:45:00+02:00,48.0
9,2022-06-27T12:30:00+02:00,44.0
10,2022-06-27T12:45:00+02:00,45.0
11,2022-06-27T16:00:00+02:00,46.0
12,2022-06-27T16:15:00+02:00,46.0
13,2022-06-27T19:30:00+02:00,48.0
14,2022-06-27T20:15:00+02:00,50.0
15,2022-06-27T20:45:00+02:00,52.0
16,2022-06-27T21:00:00+02:00,53.0
17,2022-06-27T22:30:00+02:00,55.0
18,2022-06-27T23:00:00+02:00,52.0
19,2022-06-28T01:30:00+02:00,57.0
20,2022-06-28T01:45:00+02:00,57.0
21,2022-06-28T02:45:00+02:00,57.0
22,2022-06-28T05:30:00+02:00,57.0
23,2022-06-28T06:15:00+02:00,55.0
24,2022-06-28T06:45:00+02:00,55.0
25,2022-06-28T07:15:00+02:00,54.0
26,2022-06-28T09:00:00+02:00,51.0
27,2022-06-28T11:15:00+02:00,45.0
28,2022-06-28T14:00:00+02:00,43.0
29,2022-06-28T14:45:00+02:00,45.0
30,2022-06-28T15:15:00+02:00,46.0
31,2022-06-28T15:30:00+02:00,46.0
32,2022-06-28T16:45:00+02:00,44.0
33,2022-06-28T19:45:00+02:00,51.0
34,2022-06-28T21:00:00+02:00,53.0
35,2022-06-28T23:30:00+02:00,53.0
36,2022-06-28T23:45:00+02:00,53.0
37,2022-06-29T01:00:00+02:00,57.0
38,2022-06-29T01:15:00+02:00,59.0
39,2022-06-29T01:30:00+02:00,58.0
40,2022-06-29T03:45:00+02:00,59.0
41,2022-06-29T04:00:00+02:00,58.0
42,2022-06-29T06:00:00+02:00,59.0
43,2022-06-29T07:45:00+02:00,64.0
44,2022-06-29T08:30:00+02:00,61.0
45,2022-06-29T08:45:00+02:00,61.0
46,2022-06-29T09:00:00+02:00,60.0
47,2022-06-29T10:00:00+02:00,52.0
48,2022-06-29T11:15:00+02:00,44.0
49,2022-06-29T13:15:00+02:00,43.0
50,2022-06-29T13:45:00+02:00,41.0
51,2022-06-29T15:00:00+02:00,42.0
52,2022-06-29T16:15:00+02:00,44.0
53,2022-06-29T17:15:00+02:00,43.0
54,2022-06-29T17:45:00+02:00,44.0
55,2022-06-29T21:15:00+02:00,59.0
56,2022-06-29T23:00:00+02:00,55.0
57,2022-06-29T23:45:00+02:00,54.0
58,2022-06-30T00:45:00+02:00,56.0
59,2022-06-30T01:00:00+02:00,56.0
60,2022-06-30T02:15:00+02:00,60.0
61,2022-06-30T03:30:00+02:00,62.0
62,2022-06-30T03:45:00+02:00,63.0
63,2022-06-30T04:00:00+02:00,63.0
64,2022-06-30T05:15:00+02:00,63.0
65,2022-06-30T05:45:00+02:00,62.0
66,2022-06-30T06:45:00+02:00,58.0
67,2022-06-30T07:00:00+02:00,55.0
68,2022-06-30T07:30:00+02:00,53.0
69,2022-06-30T10:30:00+02:00,52.0
70,2022-06-30T11:15:00+02:00,51.0
71,2022-06-30T12:45:00+02:00,50.0
72,2022-06-30T13:00:00+02:00,49.0
73,2022-06-30T15:30:00+02:00,48.0
74,2022-06-30T16:15:00+02:00,49.0
75,2022-06-30T16:30:00+02:00,49.0
76,2022-06-30T16:45:00+02:00,49.0
77,2022-06-30T18:00:00+02:00,48.0
78,2022-06-30T20:45:00+02:00,53.0
79,2022-06-30T22:30:00+02:00,52.0
80,2022-07-01T00:45:00+02:00,49.0
81,2022-07-01T01:00:00+02:00,49.0
82,2022-07-01T02:15:00+02:00,54.0
83,2022-07-01T03:00:00+02:00,59.0
84,2022-07-01T04:30:00+02:00,62.0
85,2022-07-01T04:45:00+02:00,62.0
86,2022-07-01T06:45:00+02:00,54.0
87,2022-07-01T07:15:00+02:00,53.0
88,2022-07-01T08:15:00+02:00,51.0
89,2022-07-01T09:00:00+02:00,50.0
90,2022-07-01T09:30:00+02:00,49.0
91,2022-07-01T10:15:00+02:00,49.0
92,2022-07-01T10:30:00+02:00,49.0
93,2022-07-01T12:00:00+02:00,46.0
94,2022-07-01T12:45:00+02:00,45.0
95,2022-07-01T15:45:00+02:00,44.0
96,2022-07-01T16:30:00+02:00,45.0
97,2022-07-01T16:45:00+02:00,46.0
98,2022-07-01T17:00:00+02:00,47.0
99,2022-07-01T17:45:00+02:00,49.0
100,2022-07-01T18:00:00+02:00,49.0
101,2022-07-01T20:00:00+02:00,52.0
102,2022-07-01T22:15:00+02:00,55.0
103,2022-07-01T22:30:00+02:00,55.0
104,2022-07-01T23:45:00+02:00,57.0
105,2022-07-02T00:45:00+02:00,57.0
106,2022-07-02T01:30:00+02:00,35.0
107,2022-07-02T01:45:00+02:00,33.0
108,2022-07-02T02:15:00+02:00,34.0
109,2022-07-02T03:00:00+02:00,33.0
110,2022-07-02T03:15:00+02:00,33.0
111,2022-07-02T05:30:00+02:00,33.0
112,2022-07-02T08:00:00+02:00,31.0
113,2022-07-02T08:15:00+02:00,31.0
114,2022-07-02T08:30:00+02:00,30.0
115,2022-07-02T08:45:00+02:00,29.0
116,2022-07-02T10:15:00+02:00,25.0
117,2022-07-02T10:30:00+02:00,24.0
118,2022-07-02T10:45:00+02:00,24.0
119,2022-07-02T11:00:00+02:00,24.0
120,2022-07-02T11:45:00+02:00,23.0
121,2022-07-02T12:15:00+02:00,24.0
122,2022-07-02T12:45:00+02:00,25.0
123,2022-07-02T13:15:00+02:00,26.0
124,2022-07-02T14:15:00+02:00,27.0
125,2022-07-02T21:00:00+02:00,51.0
126,2022-07-02T21:15:00+02:00,52.0
127,2022-07-02T23:00:00+02:00,49.0
128,2022-07-02T23:30:00+02:00,53.0
129,2022-07-03T00:15:00+02:00,46.0
130,2022-07-03T01:00:00+02:00,36.0
131,2022-07-03T02:30:00+02:00,24.0
132,2022-07-03T03:15:00+02:00,25.0
133,2022-07-03T03:45:00+02:00,27.0
134,2022-07-03T04:00:00+02:00,26.0
135,2022-07-03T04:15:00+02:00,27.0
136,2022-07-03T04:30:00+02:00,27.0
137,2022-07-03T05:00:00+02:00,26.0
138,2022-07-03T08:00:00+02:00,25.0
139,2022-07-03T08:45:00+02:00,25.0
140,2022-07-03T09:45:00+02:00,23.0
141,2022-07-03T11:45:00+02:00,21.0
142,2022-07-03T12:30:00+02:00,20.0
